Feature	gencodeID	Symbol	ensemblID	Chrom	logFC	t	adj.P.Val	Female_Pval	Female_FDR	Type
ENSG00000135697.9	ENSG00000135697.9	BCO1	ENSG00000135697	chr16	0.56705580154346	5.8734019269543	0.0001607397814583	0.3859738734860436	0.40533306463267904	gene
ENSG00000159958.5	ENSG00000159958.5	TNFRSF13C	ENSG00000159958	chr22	-0.523949687262437	-5.14763483094158	0.0017744141505793	0.09010702284184946	0.12270671809764051	gene
ENSG00000100867.14	ENSG00000100867.14	DHRS2	ENSG00000100867	chr14	0.425976611122259	5.08857846750781	0.0020502456044244	0.052474982684571854	0.08138481110801653	gene
ENSG00000105559.11	ENSG00000105559.11	PLEKHA4	ENSG00000105559	chr19	0.375590299175044	5.00892800464216	0.0023765330899623	0.15011967481359645	0.18155267531608235	gene
ENSG00000177868.11	ENSG00000177868.11	SVBP	ENSG00000177868	chr1	-0.120249729092793	-4.68089768906759	0.0040432966847176	0.059594729170438794	0.08952571422465021	gene
ENSG00000198286.9	ENSG00000198286.9	CARD11	ENSG00000198286	chr7	-0.236040062933631	-4.58576044031989	0.0048354274026633	0.06820225819443053	0.09890803677547284	gene
ENSG00000095303.14	ENSG00000095303.14	PTGS1	ENSG00000095303	chr9	-0.340625254287636	-4.5148560381461	0.005603193794686	0.06896078149449583	0.09914962146204337	gene
ENSG00000231752.5	ENSG00000231752.5	EMBP1	ENSG00000231752	chr1	-0.223233121138635	-4.50795093340268	0.0056329095618436	0.05371669149814228	0.08292668963998923	gene
ENSG00000165025.14	ENSG00000165025.14	SYK	ENSG00000165025	chr9	-0.426220889109882	-4.46645362876349	0.0056394398796287	0.11911956530008183	0.1511555089982099	gene
ENSG00000143882.10	ENSG00000143882.10	ATP6V1C2	ENSG00000143882	chr2	0.458002733570867	4.49110558887303	0.0056394398796287	0.05186273013754182	0.08080937021430935	gene
ENSG00000185115.5	ENSG00000185115.5	NSMCE3	ENSG00000185115	chr15	-0.0819492320983657	-4.43063588673304	0.0059686488996855	0.2464098874675647	0.27243337393278605	gene
ENSG00000159648.11	ENSG00000159648.11	TEPP	ENSG00000159648	chr16	0.379683385826064	4.34336132668024	0.0076565322568595	0.10808230264496832	0.1408854917745696	gene
ENSG00000082497.11	ENSG00000082497.11	SERTAD4	ENSG00000082497	chr1	-0.181893702692425	-4.32847757870847	0.007769782543419	0.057581811112205186	0.08689147172337269	gene
ENSG00000270095.1	ENSG00000270095.1		ENSG00000270095	chr12	0.181196276661538	4.32965141397396	0.007769782543419	0.0811334389887306	0.11324875858843647	gene
ENSG00000177990.11	ENSG00000177990.11	DPY19L2	ENSG00000177990	chr12	0.160431670111313	4.29109468013456	0.0086812372324349	0.21334308143175207	0.24227095688012523	gene
ENSG00000138678.10	ENSG00000138678.10	GPAT3	ENSG00000138678	chr4	-0.228215610159612	-4.26446134635167	0.0088886684929595	0.08553213070808563	0.11791466579098224	gene
ENSG00000197471.11	ENSG00000197471.11	SPN	ENSG00000197471	chr16	-0.370684697818191	-4.26158429630141	0.0088886684929595	0.22178482865203292	0.25100647837307777	gene
ENSG00000128536.15	ENSG00000128536.15	CDHR3	ENSG00000128536	chr7	0.130008758128166	4.24801839720201	0.0091021153412738	0.12026555121393134	0.15146225434837218	gene
ENSG00000250742.2	ENSG00000250742.2		ENSG00000250742	chr12	-0.477275170044766	-4.24725000662271	0.0091021153412738	0.40364842641058135	0.42125303067770953	gene
ENSG00000042832.11	ENSG00000042832.11	TG	ENSG00000042832	chr8	0.288161034495958	4.22699994677665	0.0094888217098634	0.051256168144905884	0.0802374594791751	gene
ENSG00000105717.13	ENSG00000105717.13	PBX4	ENSG00000105717	chr19	0.222302728003044	4.18066786575931	0.0108513101152714	0.10284839129575529	0.13564650033101586	gene
ENSG00000236882.7	ENSG00000236882.7	LINC01554	ENSG00000236882	chr5	0.519564282774853	4.16940622112175	0.0111833801285309	0.10182408799969028	0.1353613868249851	gene
ENSG00000171659.13	ENSG00000171659.13	GPR34	ENSG00000171659	chrX	-0.516121110281912	-4.13555288202158	0.0122666911524815	0.11798131009225749	0.1508539651942987	gene
ENSG00000230534.6	ENSG00000230534.6		ENSG00000230534	chr10	0.349445728177942	4.10810573990862	0.0132670094673056	0.19703301464320278	0.22918770800511434	gene
ENSG00000162747.9	ENSG00000162747.9	FCGR3B	ENSG00000162747	chr1	0.7103593739785	4.10014985852307	0.0135543240589568	0.05434621361389578	0.08351367688373894	gene
ENSG00000163528.12	ENSG00000163528.12	CHCHD4	ENSG00000163528	chr3	-0.10435161661393	-4.08756174547108	0.013962510139236	0.13092956061484218	0.16125515737489754	gene
ENSG00000138449.10	ENSG00000138449.10	SLC40A1	ENSG00000138449	chr2	-0.190402060272134	-4.07869213121521	0.0141742088717744	0.15553878139627614	0.18542879632652137	gene
ENSG00000267504.1	ENSG00000267504.1		ENSG00000267504	chr18	0.271561261313318	4.07591339154177	0.0141885240595014	0.12492708574672035	0.15500212490796783	gene
ENSG00000251467.1	ENSG00000251467.1		ENSG00000251467	chr5	0.272879652398681	4.05913519169038	0.0145541060998717	0.311819653686369	0.33696639995139877	gene
ENSG00000166451.13	ENSG00000166451.13	CENPN	ENSG00000166451	chr16	-0.135167649401787	-4.04729701468444	0.0145541060998717	0.10284839129575529	0.13564650033101586	gene
ENSG00000225193.5	ENSG00000225193.5	RPS12P26	ENSG00000225193	chr15	0.187622294307235	4.04552826319131	0.0145541060998717	0.21001954389460303	0.23930798368942863	gene
ENSG00000148835.10	ENSG00000148835.10	TAF5	ENSG00000148835	chr10	-0.101177806486488	-4.02114005469847	0.0154711477756421	0.10182408799969028	0.1353613868249851	gene
ENSG00000186918.13	ENSG00000186918.13	ZNF395	ENSG00000186918	chr8	0.130484672371827	4.01878792244808	0.015479416542849	0.09198702542082404	0.12475973083391116	gene
ENSG00000099139.13	ENSG00000099139.13	PCSK5	ENSG00000099139	chr9	0.108041957730978	4.00024855123717	0.0165152664102906	0.41032959090349974	0.42689569239960373	gene
ENSG00000188522.14	ENSG00000188522.14	FAM83G	ENSG00000188522	chr17	0.316184128284943	3.99095694256532	0.0165574351223469	0.060967028133232876	0.09037147975501333	gene
ENSG00000143153.12	ENSG00000143153.12	ATP1B1	ENSG00000143153	chr1	-0.11009737156331	-3.97818628675529	0.0171253243398442	0.0736491726698502	0.10454437645932127	gene
ENSG00000058668.14	ENSG00000058668.14	ATP2B4	ENSG00000058668	chr1	0.104999231133983	3.95685869877412	0.0181730755147631	0.23745077302152717	0.26339738066957485	gene
ENSG00000169403.11	ENSG00000169403.11	PTAFR	ENSG00000169403	chr1	-0.358139552525909	-3.95844745283346	0.0181730755147631	0.15829613917899438	0.1880468320034153	gene
ENSG00000095970.16	ENSG00000095970.16	TREM2	ENSG00000095970	chr6	-0.507542089087813	-3.94875771594628	0.0186095585403933	0.20836924782538763	0.2382378772065012	gene
ENSG00000253988.1	ENSG00000253988.1		ENSG00000253988	chr8	-0.555267979408694	-3.94386127824926	0.0188193016795779	0.336574910502473	0.3590846975106002	gene
ENSG00000135245.9	ENSG00000135245.9	HILPDA	ENSG00000135245	chr7	0.492143377774619	3.92321565944695	0.0200812223603915	0.12492708574672035	0.15500212490796783	gene
ENSG00000172243.17	ENSG00000172243.17	CLEC7A	ENSG00000172243	chr12	-0.470365599157642	-3.91789129566766	0.0203432425504601	0.08463839984017985	0.11716472705148863	gene
ENSG00000163389.10	ENSG00000163389.10	POGLUT1	ENSG00000163389	chr3	-0.0876693779490001	-3.91384256817635	0.0204565379443101	0.12141928233635968	0.1517741029204496	gene
ENSG00000106686.16	ENSG00000106686.16	SPATA6L	ENSG00000106686	chr9	0.134605893872696	3.90856852297162	0.0204602576164197	0.36853291681745604	0.3894590761320119	gene
ENSG00000136827.11	ENSG00000136827.11	TOR1A	ENSG00000136827	chr9	-0.0716358395466986	-3.89793710794356	0.0207000117743383	0.40364842641058135	0.42125303067770953	gene
ENSG00000230530.1	ENSG00000230530.1	LIMD1-AS1	ENSG00000230530	chr3	0.225594479325354	3.89179651575917	0.0208905966878229	0.27625467459137365	0.30243567316375874	gene
ENSG00000035862.12	ENSG00000035862.12	TIMP2	ENSG00000035862	chr17	0.091204873943115	3.89097005885111	0.0208905966878229	0.0811334389887306	0.11324875858843647	gene
ENSG00000116237.15	ENSG00000116237.15	ICMT	ENSG00000116237	chr1	-0.0798746006192055	-3.88998354562581	0.0208905966878229	0.3261660116920004	0.3513363791537625	gene
ENSG00000229766.6	ENSG00000229766.6		ENSG00000229766	chr20	0.271516023017482	3.8794905532494	0.0214986675377161	0.46912132791772476	0.47479046783213835	gene
ENSG00000213185.6	ENSG00000213185.6	FAM24B	ENSG00000213185	chr10	0.197106723842681	3.86915707139111	0.0221665324886655	0.45317130732382327	0.46003753925297214	gene
ENSG00000236818.1	ENSG00000236818.1	ARL5AP2	ENSG00000236818	chr10	-0.446863554086785	-3.86566771544653	0.0222334648891761	0.22349578886397276	0.2520912096613834	gene
ENSG00000198727.2	ENSG00000198727.2	MT-CYB	ENSG00000198727	chrM	-0.176973095529786	-3.8582964338992	0.0223327618818507	0.07285128624431292	0.1038518335823184	gene
ENSG00000168952.15	ENSG00000168952.15	STXBP6	ENSG00000168952	chr14	-0.100186913662584	-3.8588054102148	0.0223327618818507	0.48283331830843645	0.4842789270458869	gene
ENSG00000153310.18	ENSG00000153310.18	FAM49B	ENSG00000153310	chr8	-0.0766054648260001	-3.85475851595205	0.0224868378156571	0.056269844256475715	0.085295917764341	gene
ENSG00000106714.17	ENSG00000106714.17	CNTNAP3	ENSG00000106714	chr9	0.111804060730797	3.85236786299914	0.0225110766858115	0.2286734730296981	0.2562060651001634	gene
ENSG00000261325.1	ENSG00000261325.1		ENSG00000261325	chr16	-0.347321709022668	-3.8462775347479	0.0226242652782286	0.0938959180728226	0.12632583355178945	gene
ENSG00000224003.1	ENSG00000224003.1	YES1P1	ENSG00000224003	chr22	0.144216476728709	3.84157185833683	0.0227392202532311	0.23041421987928157	0.256441075280928	gene
ENSG00000087245.12	ENSG00000087245.12	MMP2	ENSG00000087245	chr16	-0.256339270180757	-3.83692074142817	0.0229010087129621	0.08825571702723933	0.12067618450663338	gene
ENSG00000173706.12	ENSG00000173706.12	HEG1	ENSG00000173706	chr3	-0.171608411924315	-3.82582231722301	0.0234926305952656	0.06523241812520027	0.09542733655869909	gene
