Feature	ensemblID	seqname	gene_name	Dir
ENSG00000229807.11	ENSG00000229807	chrX	XIST	-1.0
ENSG00000241859.7	ENSG00000241859	chrY	ANOS2P	1.0
ENSG00000206159.11	ENSG00000206159	chrY	GYG2P1	1.0
ENSG00000067646.12	ENSG00000067646	chrY	ZFY	1.0
ENSG00000183878.15	ENSG00000183878	chrY	UTY	1.0
ENSG00000260197.1	ENSG00000260197	chrY	AC010889.1	1.0
ENSG00000131002.12	ENSG00000131002	chrY	TXLNGY	1.0
ENSG00000129824.16	ENSG00000129824	chrY	RPS4Y1	1.0
ENSG00000176728.8	ENSG00000176728	chrY	TTTY14	1.0
ENSG00000198692.10	ENSG00000198692	chrY	EIF1AY	1.0
ENSG00000229236.2	ENSG00000229236	chrY	TTTY10	1.0
ENSG00000067048.17	ENSG00000067048	chrY	DDX3Y	1.0
ENSG00000012817.15	ENSG00000012817	chrY	KDM5D	1.0
ENSG00000114374.13	ENSG00000114374	chrY	USP9Y	1.0
ENSG00000154620.6	ENSG00000154620	chrY	TMSB4Y	1.0
ENSG00000226555.1	ENSG00000226555	chrY	AGKP1	1.0
ENSG00000267793.1	ENSG00000267793	chrY	AC009977.1	1.0
ENSG00000165246.14	ENSG00000165246	chrY	NLGN4Y	1.0
ENSG00000231535.6	ENSG00000231535	chrY	LINC00278	1.0
ENSG00000099715.14	ENSG00000099715	chrY	PCDH11Y	1.0
ENSG00000005889.15	ENSG00000005889	chrX	ZFX	-1.0
ENSG00000099725.14	ENSG00000099725	chrY	PRKY	1.0
ENSG00000147050.14	ENSG00000147050	chrX	KDM6A	-1.0
ENSG00000126012.11	ENSG00000126012	chrX	KDM5C	-1.0
ENSG00000215301.10	ENSG00000215301	chrX	DDX3X	-1.0
ENSG00000130021.13	ENSG00000130021	chrX	PUDP	-1.0
ENSG00000130741.11	ENSG00000130741	chrX	EIF2S3	-1.0
ENSG00000225470.7	ENSG00000225470	chrX	JPX	-1.0
ENSG00000101846.6	ENSG00000101846	chrX	STS	-1.0
ENSG00000006757.12	ENSG00000006757	chrX	PNPLA4	-1.0
ENSG00000198034.11	ENSG00000198034	chrX	RPS4X	-1.0
ENSG00000124486.13	ENSG00000124486	chrX	USP9X	-1.0
ENSG00000149531.15	ENSG00000149531	chr20	FRG1BP	1.0
ENSG00000169895.6	ENSG00000169895	chrX	SYAP1	-1.0
ENSG00000169249.12	ENSG00000169249	chrX	ZRSR2	-1.0
ENSG00000130985.17	ENSG00000130985	chrX	UBA1	-1.0
ENSG00000283443.1	ENSG00000283443	chr20	AC018688.1	1.0
ENSG00000205611.4	ENSG00000205611	chr20	LINC01597	1.0
ENSG00000258484.4	ENSG00000258484	chr15	SPESP1	1.0
ENSG00000072501.17	ENSG00000072501	chrX	SMC1A	-1.0
ENSG00000282826.2	ENSG00000282826	chr20	FRG1CP	1.0
ENSG00000086712.13	ENSG00000086712	chrX	TXLNG	-1.0
ENSG00000146938.16	ENSG00000146938	chrX	NLGN4X	-1.0
ENSG00000255346.10	ENSG00000255346	chr15	NOX5	1.0
ENSG00000280422.1	ENSG00000280422	chr3	AC115284.2	-1.0
ENSG00000237268.2	ENSG00000237268	chr7	AC092447.7	-1.0
ENSG00000241532.1	ENSG00000241532	chr3	AGGF1P3	-1.0
ENSG00000186312.10	ENSG00000186312	chrX	CA5BP1	-1.0
ENSG00000277112.3	ENSG00000277112	chr20	ANKRD20A21P	1.0
ENSG00000189134.3	ENSG00000189134	chr6	NKAPL	1.0
ENSG00000204179.10	ENSG00000204179	chr10	PTPN20	1.0
