query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	Log10	Tissue	Direction
query_1	True	3.07780140592048e-05	63	54	7	0.12962962962963	0.111111111111111	WP:WP3945	WP	TYROBP Causal Network	7562	45	WP:000000	4.511759406302911	hippocampus	All
query_1	True	5.44762967756242e-05	3438	90	40	0.444444444444444	0.0116346713205352	GO:0002376	GO:BP	immune system process	18123	1038	GO:0008150	4.2637924228385735	hippocampus	All
query_1	True	8.69892399454401e-05	26	58	5	0.0862068965517242	0.192307692307692	REAC:R-HSA-1855204	REAC	Synthesis of IP3 and IP4 in the cytosol	10622	2164	REAC:R-HSA-1483249	4.060534463718412	hippocampus	All
query_1	True	0.0001105361062689	3226	90	38	0.422222222222222	0.0117792932424055	GO:0007166	GO:BP	cell surface receptor signaling pathway	18123	3079	GO:0007165	3.9564958378880806	hippocampus	All
query_1	True	0.0001375626242394	2544	90	33	0.366666666666667	0.0129716981132075	GO:0006955	GO:BP	immune response	18123	2901	GO:0002376|GO:0050896	3.861499547870235	hippocampus	All
query_1	True	0.0002069267538022	1341	90	23	0.255555555555556	0.017151379567487	GO:0045321	GO:BP	leukocyte activation	18123	13259	GO:0001775|GO:0002376	3.684183355262182	hippocampus	All
query_1	True	0.0004057871028479	1507	90	24	0.266666666666667	0.0159256801592568	GO:0001775	GO:BP	cell activation	18123	561	GO:0009987	3.3917017602869	hippocampus	All
query_1	True	0.002066209981718	48	58	5	0.0862068965517242	0.104166666666667	REAC:R-HSA-1483249	REAC	Inositol phosphate metabolism	10622	1101	REAC:R-HSA-1430728	2.6848255447392386	hippocampus	All
query_1	True	0.0028603648873511	1206	90	20	0.222222222222222	0.0165837479270315	GO:0010628	GO:BP	positive regulation of gene expression	18123	4786	GO:0010467|GO:0010468|GO:0010604	2.543578561816757	hippocampus	All
query_1	True	0.0033098678104954	9487	90	69	0.766666666666667	0.0072731105723621	GO:0050896	GO:BP	response to stimulus	18123	15456	GO:0008150	2.480189350731472	hippocampus	All
query_1	True	0.0063336764682824	131	16	4	0.25	0.0305343511450382	KEGG:04068	KEGG	FoxO signaling pathway	8000	239	KEGG:00000	2.1983441246755486	hippocampus	Up
query_1	True	0.0100184177730658	3	12	2	0.166666666666667	0.666666666666667	CORUM:1521	CORUM	p300-SMAD1-STAT3 complex	3627	773	CORUM:0000000	1.99920086197031	hippocampus	Up
query_1	True	0.0136384458185955	62	16	3	0.1875	0.0483870967741936	KEGG:04213	KEGG	Longevity regulating pathway - multiple species	8000	270	KEGG:00000	1.8652351172796084	hippocampus	Up
query_1	True	0.019394690573024	533	37	8	0.216216216216216	0.0150093808630394	MIRNA:hsa-miR-362-3p	MIRNA	hsa-miR-362-3p	14823	726	MIRNA:000000	1.712317144834237	hippocampus	Up
query_1	True	0.0199177087260667	535	37	8	0.216216216216216	0.0149532710280374	MIRNA:hsa-miR-329-3p	MIRNA	hsa-miR-329-3p	14823	667	MIRNA:000000	1.7007606229835814	hippocampus	Up
query_1	True	0.0247647882698711	37	25	3	0.12	0.0810810810810811	WP:WP3995	WP	Prion disease pathway	7562	460	WP:000000	1.6061653807289598	hippocampus	Up
query_1	True	0.0279310477229242	79	16	3	0.1875	0.0379746835443038	KEGG:01521	KEGG	EGFR tyrosine kinase inhibitor resistance	8000	193	KEGG:00000	1.5539127731514728	hippocampus	Up
query_1	True	0.0396242756328106	89	16	3	0.1875	0.0337078651685393	KEGG:04211	KEGG	Longevity regulating pathway	8000	268	KEGG:00000	1.4020386639930864	hippocampus	Up
query_1	True	0.0496732911248061	8	40	2	0.05	0.25	GO:0070878	GO:MF	primary miRNA binding	18679	9968	GO:0003723	1.3038770646878552	hippocampus	Up
query_1	True	0.049959126214537	10	25	2	0.08	0.2	WP:WP2815	WP	Mammary gland development pathway - Involution (Stage 4 of 4)	7562	475	WP:000000	1.3013851660449696	hippocampus	Up
query_1	True	2.93282592499243e-07	63	29	7	0.241379310344828	0.111111111111111	WP:WP3945	WP	TYROBP Causal Network	7562	45	WP:000000	6.532713713377701	hippocampus	Down
query_1	True	1.31579225633141e-05	3438	50	28	0.56	0.0081442699243746	GO:0002376	GO:BP	immune system process	18123	1038	GO:0008150	4.880812673830636	hippocampus	Down
query_1	True	1.44902114559017e-05	1507	50	19	0.38	0.0126078301260783	GO:0001775	GO:BP	cell activation	18123	561	GO:0009987	4.838925276815837	hippocampus	Down
query_1	True	1.58120817931776e-05	1341	50	18	0.36	0.0134228187919463	GO:0045321	GO:BP	leukocyte activation	18123	13259	GO:0001775|GO:0002376	4.80101094779265	hippocampus	Down
query_1	True	0.0001114170712283	2544	50	23	0.46	0.0090408805031446	GO:0006955	GO:BP	immune response	18123	2901	GO:0002376|GO:0050896	3.9530482618351606	hippocampus	Down
query_1	True	0.0004466888426524	26	35	4	0.114285714285714	0.153846153846154	REAC:R-HSA-1855204	REAC	Synthesis of IP3 and IP4 in the cytosol	10622	2164	REAC:R-HSA-1483249	3.3499948951552287	hippocampus	Down
query_1	True	0.000455042740681	79	28	5	0.178571428571429	0.0632911392405063	KEGG:04662	KEGG	B cell receptor signaling pathway	8000	319	KEGG:00000	3.341947809562343	hippocampus	Down
query_1	True	0.0005662121303324	5680	52	32	0.615384615384615	0.0056338028169014	GO:0005886	GO:CC	plasma membrane	18964	515	GO:0016020|GO:0071944	3.24702083069682	hippocampus	Down
query_1	True	0.0007156387750792	847	50	13	0.26	0.0153482880755608	GO:0001817	GO:BP	regulation of cytokine production	18123	595	GO:0001816|GO:0010468|GO:0051239	3.145306136317755	hippocampus	Down
query_1	True	0.0007861733976683	854	50	13	0.26	0.0152224824355972	GO:0001816	GO:BP	cytokine production	18123	594	GO:0010467|GO:0032501	3.104481655811438	hippocampus	Down
